Att,Disp,Min_BER,MAX_Q_FACTOR
0.22,13.75,0.000025,0.4055906
0.22,13.95,0.000128,0.3647285
0.22,14.15,0.000057,0.3853199
0.22,14.35,0.000141,0.3627723
0.22,14.55,0.000026,0.4044662
0.22,14.75,0.000032,0.3990165
0.22,14.95,0.000367,0.3375169
0.22,15.15,0.000148,0.3616117
0.22,15.35,0.000343,0.3392539
0.22,15.55,0.000069,0.3806887
0.22,15.75,0.000188,0.3552866
0.22,15.95,0.000439,0.332416
0.22,16.15,0.000691,0.3187492
0.22,16.35,0.000847,0.3132206
0.22,16.55,0.000122,0.3658924
0.22,16.75,0.000686,0.3193874
0.22,16.95,0.001669,0.2932928
0.22,17.15,0.001351,0.2990419
0.22,17.35,0.000497,0.3287452
0.22,17.55,0.000278,0.3447125
0.22,17.65,0.000693,0.3191663
0.23,12.75,0.000043,0.3921162
0.23,12.95,0.000358,0.3374671
0.23,13.15,0.000135,0.3634682
0.23,13.35,0.000542,0.3265889
0.23,13.55,0.000056,0.3856431
0.23,13.75,0.000121,0.3669634
0.23,13.95,0.000474,0.3298135
0.23,14.15,0.000222,0.3508985
0.23,14.35,0.000508,0.3282872
0.23,14.55,0.000092,0.3736831
0.23,14.75,0.000127,0.3651929
0.23,14.95,0.001106,0.3059577
0.23,15.15,0.000453,0.3316229
0.23,15.35,0.001048,0.3073863
0.23,15.55,0.000206,0.3529382
0.23,15.75,0.000555,0.3259472
0.23,15.95,0.001206,0.3032819
0.23,16.15,0.001659,0.2926295
0.23,16.35,0.002129,0.2852646
0.23,16.55,0.000285,0.3435983
0.23,16.75,0.001526,0.2957293
0.23,16.95,0.013718,0.2199538
0.23,17.15,0.002746,0.2768379
0.23,17.35,0.001153,0.3043873
0.23,17.55,0.000573,0.3247866
0.23,17.65,0.002658,0.2780837
0.24,12.75,0.000251,0.3476499
0.24,12.95,0.001418,0.2976357
0.24,13.15,0.000592,0.3236749
0.24,13.35,0.001936,0.2887249
0.24,13.55,0.000249,0.3473776
0.24,13.75,0.000534,0.3271671
0.24,13.95,0.00158,0.2945338
0.24,14.15,0.00082,0.3145736
0.24,14.35,0.001717,0.2923903
0.24,14.55,0.000336,0.3399205
0.24,14.75,0.000504,0.3282624
0.24,14.95,0.004121,0.2641454
0.24,15.15,0.001381,0.2991773
0.24,15.35,0.003069,0.2738493
0.24,15.55,0.00064,0.3217832
0.24,15.75,0.001627,0.2941907
0.24,15.95,0.007074,0.2451607
0.24,16.15,0.003938,0.2647754
0.24,16.35,0.005182,0.2558841
0.24,16.55,0.000717,0.3179553
0.24,16.75,0.003412,0.2701334
0.24,16.95,0.0044995,0
0.24,17.15,0.005587,0.2530001
0.24,17.35,0.002751,0.277308
0.24,17.55,0.001288,0.3010954
0.24,17.65,0.0012335,0
0.25,12.75,0.001179,0.3038929
0.25,12.95,0.004654,0.2591802
0.25,13.15,0.002197,0.2842543
0.25,13.35,0.005864,0.2519718
0.25,13.55,0.000999,0.3084248
0.25,13.75,0.002021,0.2874819
0.25,13.95,0.004564,0.260126
0.25,14.15,0.002716,0.2777727
0.25,14.35,0.005055,0.2570726
0.25,14.55,0.001158,0.3045489
0.25,14.75,0.001802,0.2904535
0.25,14.95,0.002855,0
0.25,15.15,0.003908,0.2659003
0.25,15.35,0.008252,0.2396195
0.25,15.55,0.001946,0.2885088
0.25,15.75,0.004474,0.2613884
0.25,15.95,0.006677,0
0.25,16.15,0.00888,0.2361674
0.25,16.35,0.005355,0
0.25,16.55,0.00183,0.2899255
0.25,16.75,0.007273,0.2439839
0.25,16.95,0.009156,0
0.25,17.15,0.011039,0.2282897
0.25,17.35,0.006385,0.2487735
